time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
1,189450;0,0663;-0,0190;0,0175;0,071
1,191593;0,0730;-0,0309;0,0106;0,080
1,192868;0,0323;0,0238;-0,0010;0,040
1,204124;0,0016;0,0259;-0,0363;0,045
1,205803;0,0023;0,0327;-0,0856;0,092
1,208338;-0,0564;0,0442;-0,0940;0,118
1,211154;-0,1029;0,0461;-0,0787;0,137
1,218735;-0,0943;0,0527;-0,1037;0,150
1,221798;-0,0812;0,0070;-0,1072;0,135
1,226760;-0,0517;0,0091;-0,0868;0,101
1,231484;0,0178;-0,0222;-0,0283;0,040
1,237761;0,0369;-0,0318;-0,0083;0,049
1,242284;0,0581;-0,0510;0,0093;0,078
1,247634;0,0577;-0,0462;0,0648;0,098
1,252353;0,0455;-0,1033;0,0320;0,117
1,258122;0,0714;-0,1052;0,0231;0,129
1,263024;0,0662;-0,1259;0,0021;0,142
1,268808;0,0610;-0,1345;0,0094;0,148
1,271073;0,0463;-0,0574;0,0331;0,081
1,276821;0,0671;-0,0639;0,0776;0,121
1,283193;0,0094;-0,0181;0,0600;0,063
1,287689;0,0255;0,0202;0,0663;0,074
1,291085;0,0769;-0,0084;0,0678;0,103
1,297535;0,0971;0,0060;0,0599;0,114
1,302002;0,0890;-0,0130;0,0379;0,098
1,308554;0,0549;0,0036;0,0593;0,081
1,312160;0,0973;-0,0228;0,1020;0,143
1,315627;0,0470;-0,0017;0,1163;0,125
1,320603;-0,0266;0,0049;0,1452;0,148
1,326681;-0,0856;0,0374;0,1218;0,154
1,332334;-0,0802;0,0528;0,0752;0,122
1,337777;-0,0916;0,0373;0,0716;0,122
1,342309;-0,0224;0,0242;0,0682;0,076
1,349245;-0,1011;0,0231;0,0527;0,116
1,351299;-0,1033;0,0220;0,0327;0,111
1,357018;-0,0604;0,0233;0,0224;0,069
1,361544;-0,0395;0,0032;0,0074;0,040
1,366938;-0,0711;-0,0025;-0,0003;0,071
1,370389;-0,0003;-0,0129;-0,0554;0,057
1,375151;-0,0107;-0,0328;-0,0909;0,097
1,386678;-0,0044;-0,0454;-0,1000;0,110
1,388181;-0,0123;-0,0817;-0,0970;0,127
1,389743;-0,0035;-0,0631;-0,1201;0,136
1,394666;-0,0087;-0,0612;-0,1454;0,158
1,401875;-0,0374;-0,0236;-0,1329;0,140
1,406203;-0,0612;-0,0385;-0,0897;0,115
1,409578;-0,0775;-0,0104;-0,0779;0,110
1,415424;-0,0842;0,0082;-0,0809;0,117
1,420763;-0,1100;0,0100;-0,0080;0,111
1,425406;-0,1143;0,0214;0,0308;0,120
1,429105;-0,0998;0,0422;0,0860;0,138
1,435268;-0,0715;0,0318;0,0719;0,106
1,440766;-0,0626;0,0596;0,0721;0,113
1,445852;-0,0467;0,0585;0,0251;0,079
1,449881;-0,0096;0,0027;-0,0095;0,014
1,454072;0,0272;0,0021;-0,0272;0,039
1,460832;0,0520;-0,0104;-0,0188;0,056
1,471096;0,0744;-0,0584;0,0087;0,095
1,472873;0,1230;-0,0800;0,0243;0,149
1,473774;0,1811;-0,0492;0,0684;0,200
1,486546;-0,0979;-0,0877;0,0912;0,160
1,487928;-0,0471;-0,0571;0,0523;0,091
1,488975;0,0745;-0,0529;0,0471;0,103
1,494927;0,0911;-0,0369;0,0373;0,105
1,501184;0,0295;-0,0425;0,0230;0,057
1,505907;0,0186;-0,0243;0,0706;0,077
1,508682;0,0220;-0,0087;0,1038;0,106
1,514225;-0,0031;0,0306;0,1745;0,177
1,519546;-0,0233;0,0505;0,1925;0,200
1,526918;-0,0817;0,0536;0,1604;0,188
1,529726;-0,1067;0,0615;0,1571;0,200
1,533840;-0,1009;0,0359;0,1230;0,163
1,541678;-0,0883;0,0320;0,0821;0,125
1,546268;-0,0975;0,0233;0,0153;0,101
1,551054;-0,1044;0,0313;-0,0224;0,111
1,553992;-0,1161;-0,0034;-0,0838;0,143
1,561212;-0,0922;-0,0092;-0,0976;0,135
1,567237;-0,1113;-0,0099;-0,1378;0,177
1,569656;-0,1184;0,0132;-0,1092;0,162
1,574871;-0,1397;0,0386;-0,0691;0,161
1,578124;-0,1088;0,0425;-0,0699;0,136
1,587753;-0,1021;0,0250;-0,0304;0,109
1,589833;-0,0881;0,0457;-0,0197;0,101
1,595530;-0,0959;0,0803;0,0194;0,127
1,603098;-0,0348;0,0482;-0,0058;0,060
1,605174;0,0138;0,0068;0,0429;0,046
1,609540;0,0382;0,0035;0,0727;0,082
1,615702;0,0506;0,0143;0,0907;0,105
1,618056;0,0988;0,0106;0,0474;0,110
