time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
1.035292;-0.1096;-0.0148;-0.0348;0.116
1.041612;-0.0930;0.0046;0.0077;0.093
1.045713;-0.1379;0.0285;0.0407;0.147
1.051100;-0.1634;-0.0522;0.0499;0.179
1.054904;-0.1938;-0.0138;0.0831;0.211
1.060504;-0.2245;0.0906;0.1450;0.282
1.064400;-0.1987;0.0611;0.0404;0.212
1.071886;-0.1592;-0.0301;-0.0394;0.167
1.074720;-0.1537;-0.1205;-0.0994;0.219
1.080966;-0.1440;-0.1581;-0.0257;0.215
1.091270;-0.1348;-0.1955;-0.0044;0.238
1.092946;-0.1023;-0.1616;0.0315;0.194
1.096070;-0.1083;-0.1899;0.0724;0.230
1.111749;-0.0904;-0.1517;0.0947;0.200
1.112751;-0.0680;-0.1140;0.0939;0.163
1.113311;-0.0882;-0.0721;0.1175;0.164
1.116118;-0.0751;-0.0591;0.0843;0.127
1.121483;-0.0239;-0.0701;0.0896;0.116
1.126332;0.0175;-0.0667;-0.0142;0.070
1.130411;0.0255;-0.0395;-0.0984;0.109
1.136047;0.0334;0.0302;-0.1962;0.201
1.140499;0.0601;0.0996;-0.2891;0.312
1.145890;0.1057;0.0830;-0.3865;0.409
1.150364;0.0991;0.0384;-0.3747;0.389
1.155177;0.0120;-0.0247;-0.3207;0.322
1.160253;0.0018;-0.0871;-0.2441;0.259
1.165976;0.0249;-0.1678;-0.2491;0.301
1.169225;0.0910;-0.2383;-0.2069;0.328
1.175794;0.1241;-0.2653;-0.1749;0.341
1.180914;0.2049;-0.2966;-0.0722;0.368
1.187244;0.2672;-0.2611;0.0344;0.375
1.190725;0.3441;-0.1404;0.0356;0.373
1.194576;0.3504;0.0032;0.1036;0.365
1.204063;0.2628;0.1504;0.1237;0.327
1.205535;0.2237;0.2772;0.1202;0.376
1.208427;0.2466;0.3698;0.0124;0.445
1.214454;0.2216;0.4141;-0.0473;0.472
1.219806;0.1631;0.4344;-0.0259;0.465
1.224106;0.1757;0.3547;0.0235;0.397
1.228721;0.1781;0.2947;0.0772;0.353
1.235100;0.2038;0.1877;0.1447;0.313
1.238409;0.2529;0.0862;0.1547;0.309
1.244310;0.2350;0.0569;0.2263;0.331
1.248990;0.2458;-0.0007;0.2594;0.357
1.254811;0.3044;-0.0058;0.2737;0.409
1.259458;0.3723;0.0081;0.2601;0.454
1.264541;0.4073;0.0313;0.3136;0.515
1.276865;0.3618;0.0542;0.3008;0.474
1.278994;0.1417;0.2809;0.2367;0.394
1.280000;0.1706;0.2872;0.2022;0.390
1.296328;0.1425;0.2981;0.2158;0.395
1.298508;0.0716;0.2945;0.3391;0.455
1.299595;-0.0517;0.3334;0.3288;0.471
1.300189;-0.0182;0.4146;0.2193;0.469
1.304528;0.0950;0.4000;0.1109;0.426
1.309576;0.0692;0.4280;-0.0959;0.444
1.313981;-0.1134;0.4369;-0.3436;0.567
1.318383;-0.0954;0.2890;-0.3711;0.480
1.324225;-0.1111;0.0711;-0.0661;0.148
1.327698;-0.1461;-0.0215;-0.1343;0.200
1.333556;-0.1665;-0.0990;-0.4583;0.498
1.338140;-0.0671;-0.1141;-0.7465;0.758
1.343425;-0.1711;0.0232;-1.2319;1.244
1.348482;-0.0781;0.0504;-0.9588;0.963
1.354153;-0.1087;0.1536;-0.6170;0.645
1.357621;-0.2630;0.1420;-0.0221;0.300
1.363841;-0.2984;0.2206;0.2877;0.469
1.375630;-0.2256;0.3032;0.2528;0.455
1.377702;-0.1402;0.3756;0.1274;0.421
1.378685;-0.0850;0.4095;-0.0829;0.426
1.395007;-0.1162;0.2724;-0.2496;0.387
1.396405;-0.0431;0.0892;-0.3498;0.364
1.397148;-0.0324;-0.0684;-0.4505;0.457
1.398062;-0.1311;-0.2194;-0.3717;0.451
1.404354;-0.2099;-0.3688;-0.2146;0.476
1.407917;-0.2312;-0.4691;-0.0599;0.526
1.413146;-0.2096;-0.4591;0.1210;0.519
1.417425;-0.2358;-0.4158;0.2381;0.534
1.423239;-0.2855;-0.2920;0.2587;0.483
1.427900;-0.3586;-0.2024;0.1838;0.451
1.432254;-0.3793;-0.1325;0.1093;0.416
1.437715;-0.3953;-0.1154;0.0067;0.412
1.442868;-0.4257;-0.1459;-0.1567;0.476
1.446368;-0.3564;-0.1714;-0.3428;0.523
1.453767;-0.2357;-0.2156;-0.4803;0.577
1.458359;-0.1541;-0.2403;-0.4270;0.514
1.462772;-0.0640;-0.1603;-0.2940;0.341
1.470137;0.0108;-0.0904;-0.1007;0.136
1.472506;0.0373;-0.0969;0.0146;0.105
1.476816;-0.0270;-0.0416;0.1333;0.142
1.481724;-0.0293;-0.0248;0.1896;0.193
1.490164;-0.0269;-0.0699;0.1935;0.208
1.492379;-0.0340;-0.0817;0.1695;0.191
1.497768;-0.0884;-0.0650;0.2036;0.231
1.503672;-0.1187;-0.0583;0.2669;0.298
1.506236;-0.1014;-0.0425;0.3547;0.371
1.512326;-0.0749;-0.0129;0.3717;0.379
1.517914;-0.0961;0.0350;0.3521;0.367
1.522540;-0.1123;0.0489;0.3484;0.369
1.527201;-0.1425;0.0622;0.2939;0.333
1.531773;-0.1630;0.0893;0.2459;0.308
1.536596;-0.1929;0.0637;0.2232;0.302
1.541522;-0.1565;0.0853;0.1686;0.245
1.546905;-0.1254;0.1019;0.1482;0.219
1.552393;-0.0241;0.0802;0.1140;0.141
1.557186;0.0665;0.1298;0.0709;0.162
1.562628;0.0801;0.1409;0.0231;0.164
1.566202;0.0411;0.1474;0.0609;0.165
1.572849;-0.0074;0.0873;0.0506;0.101
1.576103;-0.0508;0.0896;0.0115;0.104
1.582198;-0.0939;0.0493;-0.0421;0.114
1.591380;-0.1509;0.0475;-0.0720;0.174
1.592783;-0.1695;-0.0065;-0.1163;0.206
1.595611;-0.1689;-0.0550;-0.1229;0.216
1.606929;-0.1727;-0.1220;-0.1110;0.239
