time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
1.533747;-0.0377;-0.0434;-0.1092;0.123
1.536965;-0.0611;-0.0542;-0.1625;0.182
1.543593;-0.0413;-0.0268;-0.1559;0.163
1.548136;-0.0334;-0.0495;-0.1872;0.197
1.553692;-0.0089;-0.0483;-0.2253;0.231
1.558004;0.0085;-0.0779;-0.2250;0.238
1.563509;0.0426;-0.0407;-0.2294;0.237
1.566686;0.0956;-0.0513;-0.2267;0.251
1.572292;0.1056;-0.0286;-0.2263;0.251
1.576087;0.1300;-0.0344;-0.2378;0.273
1.583049;0.1232;0.0073;-0.2327;0.263
1.588656;0.1687;-0.0108;-0.2134;0.272
1.592700;0.1713;-0.0404;-0.2112;0.275
1.596362;0.1385;-0.0199;-0.2235;0.264
1.602862;0.0822;0.0076;-0.1956;0.212
1.611914;0.0692;0.0279;-0.1778;0.193
1.613092;0.0586;0.0432;-0.1488;0.166
1.616388;0.0456;0.0419;-0.1251;0.140
1.623787;0.0687;0.0786;-0.0972;0.143
1.628435;0.0941;0.0795;-0.0604;0.137
1.632529;0.1053;0.1138;-0.0361;0.159
1.635896;0.1192;0.1455;-0.0433;0.193
1.642318;0.1334;0.1343;-0.0841;0.207
1.647259;0.0744;0.1495;-0.1011;0.195
1.652287;0.0568;0.1243;-0.0731;0.155
1.655743;0.0183;0.0852;-0.0716;0.113
1.662048;-0.0313;0.0298;-0.0489;0.065
1.667332;-0.0873;0.0130;-0.0760;0.117
1.673093;-0.0905;-0.0085;-0.1055;0.139
1.675680;-0.1172;-0.0202;-0.1206;0.169
1.681569;-0.1104;-0.0151;-0.1497;0.187
1.689226;-0.0988;-0.0244;-0.1454;0.177
1.692302;-0.0919;0.0045;-0.1175;0.149
1.695616;-0.1087;0.0236;-0.1064;0.154
1.702262;-0.1113;-0.0002;-0.0764;0.135
1.712419;-0.1020;-0.0000;-0.0703;0.124
1.714249;-0.1024;-0.0379;-0.0286;0.113
1.715524;-0.1483;-0.0494;-0.0916;0.181
1.727127;-0.1157;-0.0775;-0.1066;0.175
1.728388;-0.1239;-0.0675;-0.1047;0.176
1.732045;-0.1134;-0.0836;-0.1433;0.201
1.735256;-0.0841;-0.0902;-0.1292;0.179
1.742171;-0.0432;-0.0682;-0.1296;0.153
1.746580;-0.0075;-0.0678;-0.0993;0.120
1.751478;0.0327;-0.0531;-0.0953;0.114
1.755977;0.0111;-0.0599;-0.0937;0.112
1.761368;0.0039;-0.0595;-0.0710;0.093
1.765464;-0.0269;-0.0281;-0.0059;0.039
1.770039;-0.0359;-0.0018;0.0183;0.040
1.774865;-0.0614;-0.0089;0.0496;0.079
1.779757;-0.0986;0.0315;0.0665;0.123
1.786841;-0.1023;0.0312;0.1026;0.148
1.798495;-0.1177;0.0475;0.1051;0.165
1.800078;-0.1092;0.0493;0.1414;0.185
1.801154;-0.1080;0.0725;0.1443;0.194
1.815916;-0.1162;0.0646;0.1403;0.193
1.817182;-0.1243;0.0900;0.1224;0.196
1.817888;-0.1421;0.1056;0.0788;0.194
1.823517;-0.1453;0.0783;0.0853;0.186
1.826810;-0.1677;0.1106;0.1086;0.228
1.830300;-0.1923;0.1165;0.0656;0.234
1.834652;-0.2358;0.0962;0.0536;0.260
1.840939;-0.2887;0.1235;0.0417;0.317
1.845842;-0.2937;0.1078;0.0608;0.319
1.850515;-0.3037;0.1113;0.0132;0.324
1.855798;-0.2969;0.1004;-0.0413;0.316
1.860487;-0.3260;0.0802;-0.0670;0.342
1.865949;-0.2790;0.0910;-0.0690;0.301
1.869638;-0.2799;0.0969;-0.0759;0.306
1.874889;-0.2477;0.0696;-0.1567;0.301
1.880324;-0.2253;0.0782;-0.1515;0.283
1.887144;-0.1986;0.0439;-0.1563;0.257
1.896965;-0.1888;0.0361;-0.1685;0.256
1.898387;-0.1650;0.0378;-0.1311;0.214
1.899796;-0.1393;-0.0269;-0.1821;0.231
1.913120;-0.0877;-0.0508;-0.1379;0.171
1.914910;-0.0343;-0.0697;-0.1347;0.155
1.915419;-0.0005;-0.0576;-0.0816;0.100
1.920040;0.0543;-0.0812;-0.0742;0.123
1.925744;0.0920;-0.0619;-0.0241;0.113
1.930633;0.1294;-0.0546;-0.0030;0.141
1.933840;0.1976;-0.0782;0.0131;0.213
