time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
2.566793;0.0283;-0.0014;0.0271;0.039
2.570798;0.0078;-0.0309;-0.0328;0.046
2.578239;-0.0078;-0.0338;-0.0449;0.057
2.580586;-0.0212;0.0083;-0.0548;0.059
2.585753;-0.0844;0.0147;-0.0817;0.118
2.590403;-0.0450;0.0257;-0.1084;0.120
2.595898;-0.0440;0.0343;-0.0971;0.112
2.602852;-0.0693;0.0785;-0.0743;0.128
2.605467;-0.0421;0.0606;-0.0684;0.101
2.610334;-0.0317;0.0382;-0.0461;0.068
2.618063;-0.0453;0.0396;-0.0333;0.069
2.622180;-0.0517;0.0340;-0.0230;0.066
2.625713;-0.0606;0.0260;-0.0176;0.068
2.631050;-0.0601;0.0370;-0.0359;0.079
2.637289;-0.0763;0.0125;0.0050;0.077
2.643801;-0.0925;0.0237;0.0124;0.096
2.647655;-0.0990;0.0229;0.0199;0.104
2.652559;-0.1175;-0.0158;0.0438;0.126
2.657182;-0.1764;0.0455;-0.0252;0.184
2.660090;-0.1185;-0.0028;-0.0129;0.119
2.667037;-0.1157;-0.0318;-0.0079;0.120
2.672438;-0.0560;-0.0273;0.0208;0.066
2.677149;-0.0392;-0.0585;0.0401;0.081
